,urutan,error
0,0,0.01821546312782225
1,1,0.011821117107285393
2,2,0.010997342546210436
3,3,0.009918906834048339
4,4,0.0095105338513704
5,5,0.009104500129443964
6,6,0.008224670838457331
7,7,0.007722193733393002
8,8,0.007466527738072758
9,9,0.007057163508131361
10,10,0.00662547520469934
11,11,0.0065436915203624605
12,12,0.006128904355204248
13,13,0.005838349864577775
14,14,0.0056622412325905746
15,15,0.005345135168085622
16,16,0.005127708558519763
17,17,0.0048734036042171235
18,18,0.0047125634054735145
19,19,0.0045858270073311025
20,20,0.004292922276202019
21,21,0.004157266337822344
22,22,0.003921128448911673
23,23,0.004012318497586694
24,24,0.003729754929596167
25,25,0.003626024132294356
26,26,0.0034740430449948455
27,27,0.0034143163357818512
28,28,0.003343080102250799
29,29,0.003274472417623916
30,30,0.003196981507615796
31,31,0.003031334289358656
32,32,0.002982115515575603
33,33,0.002872163595750494
34,34,0.0028537683719347135
35,35,0.002733199489840464
36,36,0.0026826155954820744
37,37,0.002623229404521484
38,38,0.0025227558819838126
39,39,0.0025099720334564803
40,40,0.002428344504496912
41,41,0.0023777231620372144
42,42,0.0023273963729173934
43,43,0.00227465544227392
44,44,0.0022455756208297293
45,45,0.0021808269193047645
46,46,0.002155580414129208
47,47,0.0021200321975893225
48,48,0.0020753253083073808
49,49,0.0020145025746889475
50,50,0.0019557452883364797
51,51,0.0019420794748601102
52,52,0.0018731707072254544
53,53,0.001906995080826923
54,54,0.001844021358266371
55,55,0.001863683918033781
56,56,0.0017792398323924553
57,57,0.0017765493347209377
58,58,0.0017800362229737818
59,59,0.0017575966770017046
60,60,0.0016985442729399744
61,61,0.0016834626425662582
62,62,0.0017014127260100579
63,63,0.0016261049823070263
64,64,0.0016160665899600125
65,65,0.0016088882096250946
66,66,0.001615924358042469
67,67,0.0015600107759379377
68,68,0.0015742628813000337
69,69,0.001546284818880731
70,70,0.0015240609056674256
71,71,0.0015116123740118261
72,72,0.0015239788752815539
73,73,0.0014822566648089205
74,74,0.0014660467438897746
75,75,0.0014449765061722928
76,76,0.0014245340477580884
77,77,0.0013844917765750944
78,78,0.0013985262947905405
79,79,0.0013768865251180251
80,80,0.0013657059707037585
81,81,0.0013599958541095048
82,82,0.0013550588555115788
83,83,0.0013825880835782011
84,84,0.0013438089895761094
85,85,0.001329815420232986
86,86,0.0013295443372429614
87,87,0.0013101473537424147
88,88,0.0013207660751433903
89,89,0.0013179915529759416
90,90,0.00131263350331435
91,91,0.0013003828861012604
92,92,0.0012947976214168144
93,93,0.0012935414669946186
94,94,0.0012866308712901888
95,95,0.0012608580501522384
